LATITUDE,LONGITUDE,DATE,SPECIES_SCIENTIFIC,DATASET
-35,21.17000008,03/09/2003,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.20999908,18/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.22999954,17/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.23999977,06/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.35000038,18/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.38330078,17/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.39999962,06/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.98329926,20.0333004,05/01/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.98329926,20.25,07/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.96670151,20.9666996,08/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.96670151,21.39999962,12/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.95000076,21.04999924,23/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,20,02/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,20.06669998,08/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,20.10000038,03/10/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,20.11669922,03/10/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,20.13330078,18/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,20.25,01/10/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,21.08329964,15/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,21.08329964,23/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.91669846,26.5,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.90000153,20.48329926,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.90000153,21.54999924,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.88330078,20.75,12/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.88330078,21.23329926,13/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.86669922,20.06669998,02/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.86669922,20.76670074,12/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.84999847,20.5,03/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.84999847,20.58329964,21/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.84999847,20.76670074,08/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.84999847,20.79999924,01/10/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.83330154,20.36669922,03/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.83330154,20.45000076,03/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.83330154,20.58329964,21/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.81669998,20.35000038,08/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.81669998,20.68330002,21/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.81669998,20.7166996,21/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.81669998,21.45000076,12/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.81499863,20.25830078,07/05/1932,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.79999924,21.23329926,14/06/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.79999924,21.39999962,13/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.78329849,21.48329926,17/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.76670074,20.14999962,10/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.76670074,20.16670036,10/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.76670074,20.20000076,23/05/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.76670074,20.20000076,08/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.76670074,20.2166996,03/10/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.76670074,21.11669922,11/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.18330002,23/05/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.18330002,02/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.20000076,07/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.20000076,01/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.20000076,07/06/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.20000076,01/10/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.23329926,03/10/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.66670036,24/05/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.73329926,17/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,20.75,17/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,21.35000038,13/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
