SPECIES_SCIENTIFIC,STATUS
NOTORYNCHUS CEPEDIANUS,VU
PARAGALEUS LEUCOLOMATUS,VU
PATEOBATIS FAI,VU
PATEOBATIS JENKINSII,VU
PLESIOBATIS DAVIESI,LC
PLIOTREMA WARRENI,LC
PORODERMA AFRICANUM,LC
PORODERMA PANTHERINUM,LC
PRIONACE GLAUCA,NT
PRISTIS PRISTIS,CR
PSEUDOCARCHARIAS KAMOHARAI,LC
PTEROPLATYTRYGON VIOLACEA,LC
RAJA OCELLIFERA,EN
RAJA PULLOPUNCTATA,-99
RAJA STRAELENI,NT
RAJELLA BARNARDI,LC
RAJELLA CAUDASPINOSA,LC
RAJELLA DISSIMILIS,LC
RAJELLA LEOPARDA,LC
RAJELLA RAVIDULA,LC
RHINA ANCYLOSTOMA,CR
RHINCODON TYPUS,EN
RHINOBATOS AUSTINI,DD
RHINOBATOS BLOCHII,-99
RHINOBATOS HOLCORHYNCHUS,DD
RHINOBATUS ANNULATUS,-99
RHIZOPRIONODON ACUTUS,VU
RHYNCHOBATUS DJIDDENSIS,CR
ROSTRORAJA ALBA,EN
SCYLIORHINUS CAPENSIS,NT
SCYLLIOGALEUS QUECKETTI,VU
SOMNIOSUS ANTARCTICUS,LC
SPHYRNA LEWINI,CR
SPHYRNA MOKARRAN,CR
SPHYRNA ZYGAENA,VU
SQUALUS ACANTHIAS,VU
SQUALUS ACUTIPINNIS,NT
SQUALUS BASSI,LC
SQUALUS BLAINVILLE,DD
SQUALUS FERNANDINUS,-99
SQUATINA AFRICANA,NT
TAENIURA LYMMA,LC
TAENIUROPS MEYENI,VU
TETRONARCE COWLEYI,LC
TORPEDO FUSCOMACULATA,DD
TORPEDO SINUSPERSICI,DD
TRIAENODON OBESUS,VU
TRIAKIS MEGALOPTERUS,LC
UROGYMNUS ASPERRIMUS,VU
AMBLYRAJA HYPERBOREA,LC
ANACANTHOBATIS MARMORATA,NT
DEANIA CALCEUS,NT
DIPTURUS LANCEOROSTRATUS,DD
HETEROSCYMNOIDES MARLEYI,LC
HEXANCHUS NAKAMURAI,NT
MACULABATIS AMBIGUA,NT
MUSTELUS CANIS,NT
PASTINACHUS ATER,VU
RHINOPTERA JAYAKARI,EN
STEGOSTOMA TIGRINUM,EN
AMBLYRAJA ROBERTSI,LC
CARCHARHINUS MELANOPTERUS,VU
CHLAMYDOSELACHUS AFRICANA,LC
CRURIRAJA DURBANENSIS,DD
CRURIRAJA HULLEYI,LC
DEANIA CALCEA,NT
ERIDACNIS SINUANS,LC
ETMOPTERUS BIGELOWI,LC
ETMOPTERUS LUCIFER,LC
ETMOPTERUS SENTOSUS,LC
ETMOPTERUS VIATOR,LC
EUPROTOMICROIDES ZANTEDESCHIA,LC
HARRIOTTA RALEIGHANA,LC
HETERODONTUS RAMALHEIRA,DD
HOLOALAELURUS PUNCTATUS,-99
HYDROLAGUS AFFINIS,LC
ISURUS PAUCUS,EN
MOBULA TARAPACANA,EN
MOBULA THURSTONI,EN
NEBRIUS FERRUGINEUS,VU
ODONTASPIS FEROX,VU
OXYNOTUS CENTRINA,EN
PRISTIS ZIJSRON,CR
RAJA STRAELINI,-99
RHINOCHIMAERA ATLANTICA,LC
SQUALUS MAHIA,DD
SQUALUS MARGARETSMITHAE,LC
TETRONARCE NOBILIANA,LC
TORPEDO MARMORATA,VU
ZAMEUS SQUAMULOSUS,LC
