X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
18.4375,-34.15766667,train,5.005182644233377E206,100.0,1.0
18.35533333,-34.05383333,train,0.09710309809582109,42.88578206928707,0.48640209774286486
18.37016667,-33.956,train,0.025003366272098648,15.766638950488728,0.19604992285902653
18.34283333,-33.9845,train,0.06964358702703831,38.18880186795485,0.40449083900170923
18.38366667,-34.90566667,train,0.1119355792494932,45.42282196021465,0.5219222401966813
18.3835,-34.28516667,train,7.907324101493566E207,100.0,1.0
18.30966667,-34.16816667,train,3.036297153227691E206,100.0,1.0
18.3035,-34.15333333,train,0.07168269723111191,38.5375955623764,0.41146101100446125
27.934337,-33.04512,train,0.09105767728516458,41.851702908636206,0.4703634847147641
20.10551,-34.92946,train,4.573724598453646E207,100.0,1.0
19.815873,-34.847246,train,7.132828937426622E207,100.0,1.0
