"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Carcharhinus brachyurus",TRUE,1230,369,506,0,0.3,0.411382113821138,0,5
"Carcharhinus brevipinna",TRUE,247,74.1,109,0,0.3,0.441295546558704,0,5
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,5
"Carcharhinus limbatus",TRUE,330,99,163,0,0.3,0.493939393939394,0,5
"Carcharhinus obscurus",FALSE,707,353.5,353,0.5,0.5,0.499292786421499,0.000707213578500707,5
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,5
"Carcharias taurus",TRUE,552,276,276,0,0.5,0.5,0,5
"Centrophorus squamosus",FALSE,515,257.5,196,61.5,0.5,0.380582524271845,0.119417475728155,5
"Centroscymnus owstonii",TRUE,527,158.1,159,0,0.3,0.301707779886148,0,5
"Cruriraja parcomaculata",TRUE,1646,493.8,495,0,0.3,0.300729040097205,0,5
"Dipturus pullopunctatus",TRUE,1780,534,534,0,0.3,0.3,0,5
"Dipturus stenorhynchus",TRUE,600,180,208,0,0.3,0.346666666666667,0,5
"Etmopterus compagnoi",FALSE,741,222.3,194,28.3,0.3,0.261808367071525,0.038191632928475,5
"Etmopterus sculptus",TRUE,603,180.9,181,0,0.3,0.30016583747927,0,5
"Galeorhinus galeus",FALSE,1925,962.5,524,438.5,0.5,0.272207792207792,0.227792207792208,5
"Gymnura natalensis",TRUE,544,163.2,256,0,0.3,0.470588235294118,0,5
"Halaelurus lineatus",TRUE,148,44.4,67,0,0.3,0.452702702702703,0,5
"Halaelurus natalensis",TRUE,649,324.5,333,0,0.5,0.513097072419106,0,5
"Haploblepharus edwardsii",FALSE,687,412.2,378,34.2,0.6,0.550218340611354,0.0497816593886463,5
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,5
"Haploblepharus pictus",TRUE,332,99.6,124,0,0.3,0.373493975903614,0,5
"Himantura leoparda",TRUE,172,51.6,82,0,0.3,0.476744186046512,0,5
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,5
"Holohalaelurus regani",FALSE,1940,582,548,34,0.3,0.282474226804124,0.0175257731958763,5
"Leucoraja wallacei",FALSE,1610,644,501,143,0.4,0.311180124223602,0.0888198757763975,5
"Mobula alfredi",TRUE,80,24,47,0,0.3,0.5875,0,5
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,5
"Mobula kuhlii",TRUE,171,85.5,93,0,0.5,0.543859649122807,0,5
"Mustelus mustelus",FALSE,1503,751.5,541,210.5,0.5,0.359946773120426,0.140053226879574,5
"Mustelus palumbes",FALSE,1794,538.2,491,47.1999999999999,0.3,0.273690078037904,0.0263099219620958,5
"Myliobatis aquila",TRUE,810,405,405,0,0.5,0.5,0,5
"Narke capensis",TRUE,340,102,184,0,0.3,0.541176470588235,0,5
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,5
"Notorynchus cepedianus",TRUE,712,213.6,339,0,0.3,0.476123595505618,0,5
"Pateobatis fai",TRUE,36,10.8,17,0,0.3,0.472222222222222,0,5
"Pateobatis jenkinsii",TRUE,226,67.8,119,0,0.3,0.526548672566372,0,5
"Poroderma africanum",TRUE,570,171,287,0,0.3,0.503508771929825,0,5
"Poroderma pantherinum",TRUE,527,158.1,265,0,0.3,0.502846299810247,0,5
"Raja ocellifera",FALSE,765,459,396,63,0.6,0.517647058823529,0.0823529411764706,5
