"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Notorynchus cepedianus",TRUE,712,213.6,376,0,0.3,0.528089887640449,0,1
"Pateobatis fai",TRUE,36,10.8,18,0,0.3,0.5,0,1
"Pateobatis jenkinsii",TRUE,226,67.8,122,0,0.3,0.539823008849557,0,1
"Poroderma africanum",TRUE,570,171,293,0,0.3,0.514035087719298,0,1
"Poroderma pantherinum",TRUE,527,158.1,279,0,0.3,0.529411764705882,0,1
"Raja ocellifera",FALSE,765,459,444,15,0.6,0.580392156862745,0.0196078431372549,1
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,1
"Rhizoprionodon acutus",TRUE,77,23.1,31,0,0.3,0.402597402597403,0,1
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,1
"Rostroraja alba",FALSE,1778,889,516,373,0.5,0.290213723284589,0.209786276715411,1
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,1
"Sphyrna zygaena",TRUE,666,333,354,0,0.5,0.531531531531532,0,1
"Squalus acanthias",FALSE,2123,636.9,601,35.9,0.3,0.283089967027791,0.0169100329722091,1
"Stegostoma tigrinum",TRUE,100,30,45,0,0.3,0.45,0,1
"Taeniurops meyeni",TRUE,85,42.5,46,0,0.5,0.541176470588235,0,1
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,1
"Sphyrna lewini",FALSE,669,200.7,153,47.7,0.3,0.228699551569507,0.0713004484304933,1
"Acroteriobatus annulatus",FALSE,1242,621,581,40,0.5,0.467793880837359,0.0322061191626409,2
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,2
"Aetobatus ocellatus",TRUE,188,56.4,95,0,0.3,0.50531914893617,0,2
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,2
"Apristurus saldanha",FALSE,735,220.5,183,37.5,0.3,0.248979591836735,0.0510204081632653,2
"Bathytoshia lata",TRUE,933,279.9,458,0,0.3,0.490889603429796,0,2
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,2
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,2
"Carcharhinus amboinensis",TRUE,231,69.3,96,0,0.3,0.415584415584416,0,2
"Carcharhinus brachyurus",TRUE,1230,369,554,0,0.3,0.450406504065041,0,2
"Carcharhinus brevipinna",TRUE,247,74.1,103,0,0.3,0.417004048582996,0,2
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,2
"Carcharhinus limbatus",TRUE,330,99,168,0,0.3,0.509090909090909,0,2
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,2
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,2
"Carcharias taurus",TRUE,552,276,278,0,0.5,0.503623188405797,0,2
"Centrophorus squamosus",FALSE,515,257.5,179,78.5,0.5,0.347572815533981,0.152427184466019,2
"Centroscymnus owstonii",FALSE,527,158.1,158,0.0999999999999943,0.3,0.299810246679317,0.000189753320683101,2
"Galeorhinus galeus",FALSE,1925,962.5,526,436.5,0.5,0.273246753246753,0.226753246753247,2
"Halaelurus natalensis",TRUE,649,324.5,361,0,0.5,0.556240369799692,0,2
"Haploblepharus edwardsii",FALSE,687,412.2,412,0.199999999999989,0.6,0.599708879184862,0.000291120815138266,2
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,2
"Himantura leoparda",TRUE,172,51.6,84,0,0.3,0.488372093023256,0,2
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,2
"Leucoraja wallacei",FALSE,1610,644,500,144,0.4,0.31055900621118,0.0894409937888199,2
"Mobula alfredi",TRUE,80,24,50,0,0.3,0.625,0,2
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,2
"Mobula kuhlii",TRUE,171,85.5,92,0,0.5,0.538011695906433,0,2
"Mustelus mustelus",FALSE,1503,751.5,583,168.5,0.5,0.387890884896873,0.112109115103127,2
"Myliobatis aquila",TRUE,810,405,419,0,0.5,0.517283950617284,0,2
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,2
"Notorynchus cepedianus",TRUE,712,213.6,376,0,0.3,0.528089887640449,0,2
"Pateobatis fai",TRUE,36,10.8,18,0,0.3,0.5,0,2
"Pateobatis jenkinsii",TRUE,226,67.8,122,0,0.3,0.539823008849557,0,2
"Poroderma africanum",TRUE,570,171,293,0,0.3,0.514035087719298,0,2
"Poroderma pantherinum",TRUE,527,158.1,279,0,0.3,0.529411764705882,0,2
"Raja ocellifera",FALSE,765,459,444,15,0.6,0.580392156862745,0.0196078431372549,2
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,2
"Rhizoprionodon acutus",TRUE,77,23.1,31,0,0.3,0.402597402597403,0,2
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,2
"Rostroraja alba",FALSE,1778,889,516,373,0.5,0.290213723284589,0.209786276715411,2
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,2
"Sphyrna zygaena",TRUE,666,333,354,0,0.5,0.531531531531532,0,2
"Squalus acanthias",FALSE,2123,636.9,601,35.9,0.3,0.283089967027791,0.0169100329722091,2
"Stegostoma tigrinum",TRUE,100,30,45,0,0.3,0.45,0,2
"Taeniurops meyeni",TRUE,85,42.5,46,0,0.5,0.541176470588235,0,2
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,2
"Sphyrna lewini",FALSE,669,200.7,153,47.7,0.3,0.228699551569507,0.0713004484304933,2
"Acroteriobatus annulatus",FALSE,1242,621,579,42,0.5,0.466183574879227,0.0338164251207729,3
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,3
"Aetobatus ocellatus",TRUE,188,56.4,95,0,0.3,0.50531914893617,0,3
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,3
"Apristurus saldanha",FALSE,735,220.5,184,36.5,0.3,0.250340136054422,0.0496598639455782,3
"Bathytoshia lata",TRUE,933,279.9,459,0,0.3,0.491961414790997,0,3
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,3
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,3
"Carcharhinus amboinensis",TRUE,231,69.3,96,0,0.3,0.415584415584416,0,3
"Carcharhinus brachyurus",TRUE,1230,369,552,0,0.3,0.448780487804878,0,3
"Carcharhinus brevipinna",TRUE,247,74.1,103,0,0.3,0.417004048582996,0,3
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,3
"Carcharhinus limbatus",TRUE,330,99,168,0,0.3,0.509090909090909,0,3
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,3
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,3
"Carcharias taurus",TRUE,552,276,278,0,0.5,0.503623188405797,0,3
"Centrophorus squamosus",FALSE,515,257.5,180,77.5,0.5,0.349514563106796,0.150485436893204,3
"Centroscymnus owstonii",FALSE,527,158.1,158,0.0999999999999943,0.3,0.299810246679317,0.000189753320683101,3
"Galeorhinus galeus",FALSE,1925,962.5,524,438.5,0.5,0.272207792207792,0.227792207792208,3
"Halaelurus natalensis",TRUE,649,324.5,360,0,0.5,0.554699537750385,0,3
"Haploblepharus edwardsii",FALSE,687,412.2,411,1.19999999999999,0.6,0.59825327510917,0.00174672489082968,3
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,3
"Himantura leoparda",TRUE,172,51.6,84,0,0.3,0.488372093023256,0,3
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,3
"Leucoraja wallacei",FALSE,1610,644,499,145,0.4,0.309937888198758,0.0900621118012422,3
"Mobula alfredi",TRUE,80,24,50,0,0.3,0.625,0,3
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,3
"Mobula kuhlii",TRUE,171,85.5,92,0,0.5,0.538011695906433,0,3
"Mustelus mustelus",FALSE,1503,751.5,582,169.5,0.5,0.387225548902196,0.112774451097804,3
"Myliobatis aquila",TRUE,810,405,418,0,0.5,0.516049382716049,0,3
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,3
"Notorynchus cepedianus",TRUE,712,213.6,374,0,0.3,0.525280898876405,0,3
"Pateobatis fai",TRUE,36,10.8,18,0,0.3,0.5,0,3
"Pateobatis jenkinsii",TRUE,226,67.8,121,0,0.3,0.535398230088496,0,3
"Poroderma africanum",TRUE,570,171,292,0,0.3,0.512280701754386,0,3
"Poroderma pantherinum",TRUE,527,158.1,279,0,0.3,0.529411764705882,0,3
"Raja ocellifera",FALSE,765,459,442,17,0.6,0.577777777777778,0.0222222222222222,3
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,3
"Rhizoprionodon acutus",TRUE,77,23.1,31,0,0.3,0.402597402597403,0,3
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,3
"Rostroraja alba",FALSE,1778,889,514,375,0.5,0.289088863892013,0.210911136107987,3
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,3
"Sphyrna zygaena",TRUE,666,333,354,0,0.5,0.531531531531532,0,3
"Squalus acanthias",FALSE,2123,636.9,599,37.9,0.3,0.282147903909562,0.017852096090438,3
"Stegostoma tigrinum",TRUE,100,30,45,0,0.3,0.45,0,3
"Taeniurops meyeni",TRUE,85,42.5,46,0,0.5,0.541176470588235,0,3
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,3
"Sphyrna lewini",FALSE,669,200.7,155,45.7,0.3,0.23168908819133,0.0683109118086696,3
"Acroteriobatus annulatus",FALSE,1242,621,581,40,0.5,0.467793880837359,0.0322061191626409,4
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,4
"Aetobatus ocellatus",TRUE,188,56.4,95,0,0.3,0.50531914893617,0,4
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,4
"Apristurus saldanha",FALSE,735,220.5,184,36.5,0.3,0.250340136054422,0.0496598639455782,4
"Bathytoshia lata",TRUE,933,279.9,460,0,0.3,0.493033226152197,0,4
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,4
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,4
"Carcharhinus amboinensis",TRUE,231,69.3,95,0,0.3,0.411255411255411,0,4
"Carcharhinus brachyurus",TRUE,1230,369,554,0,0.3,0.450406504065041,0,4
"Carcharhinus brevipinna",TRUE,247,74.1,102,0,0.3,0.412955465587045,0,4
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,4
"Carcharhinus limbatus",TRUE,330,99,168,0,0.3,0.509090909090909,0,4
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,4
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,4
"Carcharias taurus",TRUE,552,276,278,0,0.5,0.503623188405797,0,4
"Centrophorus squamosus",FALSE,515,257.5,180,77.5,0.5,0.349514563106796,0.150485436893204,4
"Centroscymnus owstonii",FALSE,527,158.1,158,0.0999999999999943,0.3,0.299810246679317,0.000189753320683101,4
"Galeorhinus galeus",FALSE,1925,962.5,526,436.5,0.5,0.273246753246753,0.226753246753247,4
"Halaelurus natalensis",TRUE,649,324.5,361,0,0.5,0.556240369799692,0,4
"Haploblepharus edwardsii",FALSE,687,412.2,412,0.199999999999989,0.6,0.599708879184862,0.000291120815138266,4
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,4
"Himantura leoparda",TRUE,172,51.6,84,0,0.3,0.488372093023256,0,4
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,4
"Leucoraja wallacei",FALSE,1610,644,501,143,0.4,0.311180124223602,0.0888198757763975,4
"Mobula alfredi",TRUE,80,24,50,0,0.3,0.625,0,4
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,4
"Mobula kuhlii",TRUE,171,85.5,92,0,0.5,0.538011695906433,0,4
"Mustelus mustelus",FALSE,1503,751.5,584,167.5,0.5,0.38855622089155,0.11144377910845,4
"Myliobatis aquila",TRUE,810,405,419,0,0.5,0.517283950617284,0,4
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,4
"Notorynchus cepedianus",TRUE,712,213.6,376,0,0.3,0.528089887640449,0,4
"Pateobatis fai",TRUE,36,10.8,18,0,0.3,0.5,0,4
"Pateobatis jenkinsii",TRUE,226,67.8,120,0,0.3,0.530973451327434,0,4
"Poroderma africanum",TRUE,570,171,292,0,0.3,0.512280701754386,0,4
"Poroderma pantherinum",TRUE,527,158.1,279,0,0.3,0.529411764705882,0,4
"Raja ocellifera",FALSE,765,459,444,15,0.6,0.580392156862745,0.0196078431372549,4
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,4
"Rhizoprionodon acutus",TRUE,77,23.1,31,0,0.3,0.402597402597403,0,4
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,4
"Rostroraja alba",FALSE,1778,889,516,373,0.5,0.290213723284589,0.209786276715411,4
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,4
"Sphyrna zygaena",TRUE,666,333,354,0,0.5,0.531531531531532,0,4
"Squalus acanthias",FALSE,2123,636.9,602,34.9,0.3,0.283560998586905,0.0164390014130947,4
"Stegostoma tigrinum",TRUE,100,30,45,0,0.3,0.45,0,4
"Taeniurops meyeni",TRUE,85,42.5,46,0,0.5,0.541176470588235,0,4
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,4
"Sphyrna lewini",FALSE,669,200.7,150,50.7,0.3,0.224215246636771,0.0757847533632287,4
"Acroteriobatus annulatus",FALSE,1242,621,581,40,0.5,0.467793880837359,0.0322061191626409,5
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,5
"Aetobatus ocellatus",TRUE,188,56.4,95,0,0.3,0.50531914893617,0,5
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,5
"Apristurus saldanha",FALSE,735,220.5,184,36.5,0.3,0.250340136054422,0.0496598639455782,5
"Bathytoshia lata",TRUE,933,279.9,460,0,0.3,0.493033226152197,0,5
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,5
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,5
"Carcharhinus amboinensis",TRUE,231,69.3,95,0,0.3,0.411255411255411,0,5
"Carcharhinus brachyurus",TRUE,1230,369,554,0,0.3,0.450406504065041,0,5
"Carcharhinus brevipinna",TRUE,247,74.1,102,0,0.3,0.412955465587045,0,5
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,5
"Carcharhinus limbatus",TRUE,330,99,168,0,0.3,0.509090909090909,0,5
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,5
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,5
"Carcharias taurus",TRUE,552,276,278,0,0.5,0.503623188405797,0,5
"Centrophorus squamosus",FALSE,515,257.5,180,77.5,0.5,0.349514563106796,0.150485436893204,5
"Centroscymnus owstonii",FALSE,527,158.1,158,0.0999999999999943,0.3,0.299810246679317,0.000189753320683101,5
"Galeorhinus galeus",FALSE,1925,962.5,526,436.5,0.5,0.273246753246753,0.226753246753247,5
"Halaelurus natalensis",TRUE,649,324.5,361,0,0.5,0.556240369799692,0,5
"Haploblepharus edwardsii",FALSE,687,412.2,412,0.199999999999989,0.6,0.599708879184862,0.000291120815138266,5
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,5
"Himantura leoparda",TRUE,172,51.6,84,0,0.3,0.488372093023256,0,5
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,5
"Leucoraja wallacei",FALSE,1610,644,502,142,0.4,0.311801242236025,0.0881987577639751,5
"Mobula alfredi",TRUE,80,24,50,0,0.3,0.625,0,5
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,5
"Mobula kuhlii",TRUE,171,85.5,92,0,0.5,0.538011695906433,0,5
"Mustelus mustelus",FALSE,1503,751.5,584,167.5,0.5,0.38855622089155,0.11144377910845,5
"Myliobatis aquila",TRUE,810,405,419,0,0.5,0.517283950617284,0,5
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,5
"Notorynchus cepedianus",TRUE,712,213.6,376,0,0.3,0.528089887640449,0,5
"Pateobatis fai",TRUE,36,10.8,18,0,0.3,0.5,0,5
"Pateobatis jenkinsii",TRUE,226,67.8,120,0,0.3,0.530973451327434,0,5
"Poroderma africanum",TRUE,570,171,292,0,0.3,0.512280701754386,0,5
"Poroderma pantherinum",TRUE,527,158.1,279,0,0.3,0.529411764705882,0,5
"Raja ocellifera",FALSE,765,459,444,15,0.6,0.580392156862745,0.0196078431372549,5
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,5
"Rhizoprionodon acutus",TRUE,77,23.1,31,0,0.3,0.402597402597403,0,5
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,5
"Rostroraja alba",FALSE,1778,889,516,373,0.5,0.290213723284589,0.209786276715411,5
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,5
"Sphyrna zygaena",TRUE,666,333,354,0,0.5,0.531531531531532,0,5
"Squalus acanthias",FALSE,2123,636.9,601,35.9,0.3,0.283089967027791,0.0169100329722091,5
"Stegostoma tigrinum",TRUE,100,30,45,0,0.3,0.45,0,5
"Taeniurops meyeni",TRUE,85,42.5,46,0,0.5,0.541176470588235,0,5
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,5
"Sphyrna lewini",FALSE,669,200.7,150,50.7,0.3,0.224215246636771,0.0757847533632287,5
"Acroteriobatus annulatus",FALSE,1242,621,581,40,0.5,0.467793880837359,0.0322061191626409,6
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,6
"Aetobatus ocellatus",TRUE,188,56.4,95,0,0.3,0.50531914893617,0,6
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,6
"Apristurus saldanha",FALSE,735,220.5,184,36.5,0.3,0.250340136054422,0.0496598639455782,6
"Bathytoshia lata",TRUE,933,279.9,460,0,0.3,0.493033226152197,0,6
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,6
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,6
"Carcharhinus amboinensis",TRUE,231,69.3,95,0,0.3,0.411255411255411,0,6
"Carcharhinus brachyurus",TRUE,1230,369,554,0,0.3,0.450406504065041,0,6
"Carcharhinus brevipinna",TRUE,247,74.1,102,0,0.3,0.412955465587045,0,6
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,6
"Carcharhinus limbatus",TRUE,330,99,168,0,0.3,0.509090909090909,0,6
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,6
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,6
"Carcharias taurus",TRUE,552,276,278,0,0.5,0.503623188405797,0,6
"Centrophorus squamosus",FALSE,515,257.5,180,77.5,0.5,0.349514563106796,0.150485436893204,6
"Centroscymnus owstonii",FALSE,527,158.1,158,0.0999999999999943,0.3,0.299810246679317,0.000189753320683101,6
"Galeorhinus galeus",FALSE,1925,962.5,526,436.5,0.5,0.273246753246753,0.226753246753247,6
"Halaelurus natalensis",TRUE,649,324.5,361,0,0.5,0.556240369799692,0,6
"Haploblepharus edwardsii",FALSE,687,412.2,412,0.199999999999989,0.6,0.599708879184862,0.000291120815138266,6
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,6
"Himantura leoparda",TRUE,172,51.6,84,0,0.3,0.488372093023256,0,6
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,6
"Leucoraja wallacei",FALSE,1610,644,502,142,0.4,0.311801242236025,0.0881987577639751,6
"Mobula alfredi",TRUE,80,24,50,0,0.3,0.625,0,6
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,6
"Mobula kuhlii",TRUE,171,85.5,92,0,0.5,0.538011695906433,0,6
"Mustelus mustelus",FALSE,1503,751.5,584,167.5,0.5,0.38855622089155,0.11144377910845,6
"Myliobatis aquila",TRUE,810,405,419,0,0.5,0.517283950617284,0,6
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,6
"Notorynchus cepedianus",TRUE,712,213.6,376,0,0.3,0.528089887640449,0,6
"Pateobatis fai",TRUE,36,10.8,18,0,0.3,0.5,0,6
"Pateobatis jenkinsii",TRUE,226,67.8,120,0,0.3,0.530973451327434,0,6
"Poroderma africanum",TRUE,570,171,292,0,0.3,0.512280701754386,0,6
"Poroderma pantherinum",TRUE,527,158.1,279,0,0.3,0.529411764705882,0,6
"Raja ocellifera",FALSE,765,459,444,15,0.6,0.580392156862745,0.0196078431372549,6
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,6
"Rhizoprionodon acutus",TRUE,77,23.1,31,0,0.3,0.402597402597403,0,6
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,6
"Rostroraja alba",FALSE,1778,889,516,373,0.5,0.290213723284589,0.209786276715411,6
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,6
"Sphyrna zygaena",TRUE,666,333,354,0,0.5,0.531531531531532,0,6
"Squalus acanthias",FALSE,2123,636.9,601,35.9,0.3,0.283089967027791,0.0169100329722091,6
"Stegostoma tigrinum",TRUE,100,30,45,0,0.3,0.45,0,6
"Taeniurops meyeni",TRUE,85,42.5,46,0,0.5,0.541176470588235,0,6
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,6
"Sphyrna lewini",FALSE,669,200.7,150,50.7,0.3,0.224215246636771,0.0757847533632287,6
"Acroteriobatus annulatus",FALSE,1242,621,578,43,0.5,0.465378421900161,0.034621578099839,7
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,7
"Aetobatus ocellatus",TRUE,188,56.4,95,0,0.3,0.50531914893617,0,7
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,7
"Apristurus saldanha",FALSE,735,220.5,184,36.5,0.3,0.250340136054422,0.0496598639455782,7
"Bathytoshia lata",TRUE,933,279.9,457,0,0.3,0.489817792068596,0,7
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,7
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,7
"Carcharhinus amboinensis",TRUE,231,69.3,96,0,0.3,0.415584415584416,0,7
"Carcharhinus brachyurus",TRUE,1230,369,551,0,0.3,0.447967479674797,0,7
"Carcharhinus brevipinna",TRUE,247,74.1,103,0,0.3,0.417004048582996,0,7
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,7
"Carcharhinus limbatus",TRUE,330,99,167,0,0.3,0.506060606060606,0,7
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,7
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,7
"Carcharias taurus",TRUE,552,276,277,0,0.5,0.501811594202899,0,7
"Centrophorus squamosus",FALSE,515,257.5,180,77.5,0.5,0.349514563106796,0.150485436893204,7
"Centroscymnus owstonii",FALSE,527,158.1,158,0.0999999999999943,0.3,0.299810246679317,0.000189753320683101,7
"Galeorhinus galeus",FALSE,1925,962.5,524,438.5,0.5,0.272207792207792,0.227792207792208,7
"Halaelurus natalensis",TRUE,649,324.5,361,0,0.5,0.556240369799692,0,7
"Haploblepharus edwardsii",FALSE,687,412.2,411,1.19999999999999,0.6,0.59825327510917,0.00174672489082968,7
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,7
"Himantura leoparda",TRUE,172,51.6,85,0,0.3,0.494186046511628,0,7
